t_name	FPKM	H3K27ac	H3K27me3	H3K4me1	H3K4me3	H3K9ac
FBtr0110805	0.0	-2.0638900000000002	-10.4452	3.3504699999999996	5.44907	-0.107472
FBtr0347125	0.0	-1.49746	-11.7121	-6.55211	9.26533	-0.09517130000000001
FBtr0347124	0.0	-1.49746	-11.7121	-6.55211	9.26533	-0.09517130000000001
FBtr0339552	13.970557999999999	-0.9771120000000001	-9.57755	-0.5629930000000001	10.033	-0.0948501
FBtr0078950	15.656502	-1.02789	-8.413030000000001	4.4160900000000005	9.99847	-0.0939269
FBtr0344215	24.961674	-0.650271	-7.52387	0.106583	9.00008	-0.0830052
FBtr0078949	28.281140999999998	-2.38059	-7.381710000000001	1.8456400000000002	8.44744	-0.0951949
FBtr0113192	0.0	-2.38059	-7.381710000000001	1.8456400000000002	8.44744	-0.0951949
FBtr0290222	45.693405	9.48456	-14.4484	6.995369999999999	16.1506	-0.125553
FBtr0345153	0.0	5.6597	-4.49518	-1.94195	4.6041	-0.0485164
FBtr0078921	494.75430300000005	15.8761	-13.2786	2.7854099999999997	8.8283	-0.12193399999999999
FBtr0290250	0.0	1.6563	-8.75073	-0.36154400000000003	-1.59095	-0.074176
FBtr0290249	0.0	1.6563	-8.75073	-0.36154400000000003	-1.59095	-0.074176
FBtr0339973	0.0	1.6563	-8.75073	-0.36154400000000003	-1.59095	-0.074176
FBtr0078923	0.0	5.17558	0.7572	8.88612	2.0722099999999997	-0.0742813
FBtr0078946	77.661827	0.57791	-3.87019	-2.1625900000000002	-0.898576	-0.033280800000000006
FBtr0301244	14.232263	0.265572	-4.58908	-2.1242099999999997	-0.155127	-0.0351067
FBtr0336458	6.871392999999999	0.265572	-4.58908	-2.1242099999999997	-0.155127	-0.0351067
FBtr0078924	0.0	-1.00929	-9.77238	-2.34033	1.77922	-0.0956723
FBtr0346646	90.975266	-0.432705	-6.34549	13.2282	4.52463	-0.083093
FBtr0078944	103.20388	1.47341	-5.71702	20.4044	2.6873	-0.0811052
FBtr0078925	66.47126	-1.7567400000000002	-16.1181	8.7413	21.8277	-0.14868900000000002
FBtr0346735	14.852782999999999	-1.86235	-15.5252	32.2885	1.15452	-0.139097
FBtr0078943	12.693188000000001	-1.86235	-15.5252	32.2885	1.15452	-0.139097
FBtr0335428	15.891585000000001	0.282854	-14.5494	44.155	4.92108	-0.141969
FBtr0078926	59.305099	11.679	-11.87	42.3192	23.3229	-0.14738199999999999
FBtr0078941	0.0	-0.6008020000000001	-5.99827	-1.7361400000000002	2.66374	-0.062437400000000004
FBtr0306343	4.8962639999999995	-0.6008020000000001	-5.99827	-1.7361400000000002	2.66374	-0.062437400000000004
FBtr0335432	0.0	-0.6008020000000001	-5.99827	-1.7361400000000002	2.66374	-0.062437400000000004
FBtr0078942	0.0	0.109769	-4.430280000000001	-1.1905	2.52224	-0.05543630000000001
FBtr0078939	1.512314	0.109769	-4.430280000000001	-1.1905	2.52224	-0.05543630000000001
FBtr0335431	0.0	0.109769	-4.430280000000001	-1.1905	2.52224	-0.05543630000000001
FBtr0306344	0.0	0.109769	-4.430280000000001	-1.1905	2.52224	-0.05543630000000001
FBtr0345149	0.0	14.3216	-14.6017	5.57294	6.4603	-0.14626
FBtr0345148	0.0	15.237	-17.0853	9.99492	4.078930000000001	-0.181203
FBtr0309986	0.0	12.3938	-21.8504	17.8329	-3.3904	-0.213642
FBtr0078938	2.155015	-1.77668	-6.806080000000001	-4.3382	1.40816	-0.0597596
FBtr0345142	0.0	-1.77668	-6.806080000000001	-4.3382	1.40816	-0.0597596
